Point mean;Rebound mean;Free Throw Percentage mean
30.1;6.2;49.7
24.6;11.2;55.9
27.3;7.1;49.6
19.5;7.2;52.00
30.1;22.9;54.00
24.3;10.00;49.6
15.1;22.5;44.00
19.3;10.9;58.2
23.7;10.9;0.00
21.8;11.1;48.5
25.7;7.5;44.9
25.1;5.3;47.4
27.00;0.00;50.6
24.2;8.5;49.5
20.3;12.3;51.6
25.00;10.1;47.5
22.1;7.9;54.1
22.1;11.7;38.4
13.1;0.00;51.8
21.1;10.6;49.7
17.8;10.00;48.3
27.8;7.00;44.2
21.8;4.2;43.1
27.4;13.5;0.00
16.1;6.4;45.2
19.2;0.00;48.9
23.8;4.9;0.00
20.8;6.3;0.00
18.7;4.4;49.00
14.3;7.3;55.4
17.9;9.8;50.4
21.00;13.4;40.4
23.1;16.2;43.6
26.4;6.3;0.00
12.6;6.1;0.00
20.4;6.7;40.00
24.8;5.9;45.6
18.9;5.2;41.5
18.4;12.5;45.2
21.00;0.00;46.6
16.3;10.5;52.1
13.3;5.1;52.1
17.6;6.8;46.1
25.2;5.7;37.0
20.2;6.2;42.5
26.7;6.5;50.1
25.1;12.9;47.6
18.7;5.4;0.00
21.4;4.1;40.00
18.9;3.00;39.5
18.2;9.4;50.3
22.1;14.00;50.9
10.8;5.8;51.8
22.5;13.6;46.00
17.6;9.5;51.1
18.3;9.1;53.7
14.5;5.9;49.5
16.7;6.6;45.4
25.00;3.00;46.4
18.8;0.00;45.00
14.2;5.5;50.7
21.5;5.6;43.5
19.6;13.1;52.1
7.3;8.5;52.7
17.1;9.8;47.9
20.7;12.7;58.00
18.00;10.1;51.4
20.1;4.7;43.9
19.1;12.3;58.2
18.8;4.2;44.1
24.2;5.7;54.00
24.3;10.3;51.8
9.8;12.1;42.4
18.5;9.6;52.2
21.6;0.00;46.7
18.8;0.00;46.00
16.1;4.9;45.6
17.7;15.6;49.9
17.00;6.00;48.3
16.7;4.7;50.2
15.6;4.1;50.4
22.7;4.1;38.4
18.2;0.00;0.00
14.9;11.00;43.2
16.1;8.5;49.4
19.2;0.00;0.00
15.2;10.1;44.6
20.8;9.2;45.2
19.00;8.6;40.5
22.8;6.7;52.3
11.1;15.00;42.1
15.00;4.7;43.2
16.5;0.00;40.2
15.2;7.8;50.3
14.3;6.1;56.00
12.1;4.4;44.1
20.3;0.00;45.6
18.6;11.7;44.6
18.5;8.4;48.8
14.6;0.00;0.00
